sensor_index,last_seen,name,location_type,latitude,longitude,pm2.5,pm2.5_a,pm2.5_b,geometry,province
196429,1777185812,All Saints Catholic School,0,50.3135,-107.78,2.2,2.4,2.0,POINT (-107.78 50.3135),SK
196479,1777185856,Christ The King School,0,49.65119,-108.40426,4395.2,4476.5,4314.0,POINT (-108.40426 49.65119),SK
209603,1777185810,FHQTC LRES Urban Office,0,50.471775,-104.58396,4.9,5.3,4.5,POINT (-104.58396 50.471775),SK
209845,1777185792,AQSU-Muskeg Lake,0,53.003407,-106.87685,0.0,0.0,0.0,POINT (-106.87685 53.003407),SK
209863,1777185808,AQSU-CAPMoN_PHL,0,55.51217,-106.724525,0.0,0.0,0.0,POINT (-106.724525 55.51217),SK
211611,1777185824,FHQTC LRES Treaty Four Territory Air Quality Monitor,0,50.756958,-103.78721,0.7,0.7,0.7,POINT (-103.78721 50.756958),SK
214441,1777185897,AQSU-Mistawasis,0,53.174923,-106.80666,2.0,0.0,4.0,POINT (-106.80666 53.174923),SK
218169,1777185817,Mosaic Stadium Sideline (2),0,50.45109,-104.63352,3.3,3.6,3.0,POINT (-104.63352 50.45109),SK
220665,1777185881,SAS / Saskatoon Kinsmen Henk Ruys Soccer Centre,0,52.1678,-106.631836,0.0,0.1,0.0,POINT (-106.631836 52.1678),SK
223245,1777185862,All Nations Healing Hospital/FHQTC Health Services,0,50.761063,-103.78715,0.1,0.2,0.0,POINT (-103.78715 50.761063),SK
224705,1777185891,St. Henry's Sr School,0,50.93659,-102.79673,0.4,0.6,0.2,POINT (-102.79673 50.93659),SK
225117,1777185787,Century Field YRHS,0,51.215965,-102.478065,0.5,0.5,4579.2,POINT (-102.478065 51.215965),SK
226573,1777185841,Mankota Public School,0,49.41989,-107.0674,2.5,2.8,2.3,POINT (-107.0674 49.41989),SK
226635,1777185826,Central Butte School,0,50.796543,-106.504524,1.4,1.2,1.5,POINT (-106.504524 50.796543),SK
226639,1777185885,Assiniboia Composite High School,0,49.62498,-105.99798,3.1,3.6,2.5,POINT (-105.99798 49.62498),SK
227149,1777185805,École Gravelbourg School,0,49.872833,-106.56045,0.9,0.9,3330.8,POINT (-106.56045 49.872833),SK
227173,1777182195,Prairie South School Division Office,0,50.40043,-105.55701,3.5,3.8,3.2,POINT (-105.55701 50.40043),SK
227183,1777185850,Rouleau School,0,50.19128,-104.90163,1.7,1.8,1.6,POINT (-104.90163 50.19128),SK
229353,1777185798,Borden,0,52.403618,-107.23633,0.0,0.0,0.0,POINT (-107.23633 52.403618),SK
229921,1777185809,Cudworth,0,52.48632,-105.73341,0.0,0.0,0.0,POINT (-105.73341 52.48632),SK
231289,1777185855,AQSU-One Arrow,0,52.740547,-106.029366,0.6,1.2,0.0,POINT (-106.029366 52.740547),SK
240955,1777185856,Cote First Nation,0,51.62307,-101.90229,0.2,0.3,0.0,POINT (-101.90229 51.62307),SK
251803,1777185814,Saskatchewan Polytechnic Moose Jaw Campus,0,50.40406,-105.551186,2.9,2.2,3.6,POINT (-105.551186 50.40406),SK
252811,1777185747,AQSU-Yellow Quill,0,52.306683,-103.62862,0.2,0.4,0.0,POINT (-103.62862 52.306683),SK
