station,PM25,NO2,O3,WS,WD,TEMP,RH,lat,lon
Buffalo Narrows,1.5030930042266846,0.15941420197486877,42.38291931152344,24.585519790649414,348.73779296875,-5.054401874542236,81.93868255615234,55.8347917730994,-108.40387034522
Estevan,4.225968,2.546634,29.70569,21.40062,283.1866,1.872361,61.4925,49.1323647672702,-102.985002018981
Prince Albert,1.5354429483413696,1.2836099863052368,39.3502082824707,10.057869911193848,327.3460998535156,-3.5522220134735107,75.23944091796875,53.2019378757967,-105.751586774025
Regina,4.167031764984131,2.0348429679870605,27.66082000732422,25.951770782470703,304.135498046875,0.9718055725097656,65.39041900634766,50.4502077461615,-104.617125744561
Saskatoon,2.57519793510437,2.410590887069702,34.95125961303711,15.947919845581055,310.0697021484375,-0.8188889026641846,63.89527893066406,52.1361376913645,-106.662942708646
Swift Current,2.4205429553985596,1.8472599983215332,37.14992904663086,31.404699325561523,304.79901123046875,1.3559720516204834,58.98249816894531,50.2858504122844,-107.816680514048
